p, e, n, C1, C2, C3, C4, C5, C6
2, 1, 105, False, False, False, False, False, x^105 + x^6 + x^5 + x^4 + x^2 + x + 1
2, 2, 105, False, True, True,,,
2, 4, 105, False, True, True,,,
2, 5, 105, True, True, True,,,
3, 1, 105, False, True, True,,,
3, 2, 105, False, True, True,,,
5, 1, 105, False, False, False, False, False, x^105 + 4*x^3 + x^2 + 4*x + 2
11, 1, 105, False, True, True,,,
17, 1, 105, True, True, True,,,
19, 1, 105, False, True, True,,,
23, 1, 105, True, True, True,,,
31, 1, 105, False, True, True,,,
37, 1, 105, True, True, True,,,
47, 1, 105, True, True, True,,,
53, 1, 105, True, True, True,,,
59, 1, 105, True, True, True,,,
61, 1, 105, False, True, True,,,
67, 1, 105, True, True, True,,,
73, 1, 105, True, True, True,,,
79, 1, 105, True, True, True,,,
89, 1, 105, True, True, True,,,
101, 1, 105, True, True, True,,,
103, 1, 105, True, True, True,,,
2, 1, 106, False, True, True,,,
2, 2, 106, False, True, True,,,
2, 3, 106, False, True, True,,,
2, 5, 106, True, True, True,,,
3, 1, 106, False, True, True,,,
3, 2, 106, False, True, True,,,
3, 3, 106, True, True, True,,,
5, 1, 106, False, True, True,,,
5, 2, 106, True, True, True,,,
7, 1, 106, False, True, True,,,
11, 1, 106, False, True, True,,,
17, 1, 106, False, True, True,,,
19, 1, 106, False, True, True,,,
23, 1, 106, True, True, True,,,
29, 1, 106, True, True, True,,,
31, 1, 106, True, True, True,,,
37, 1, 106, True, True, True,,,
41, 1, 106, True, True, True,,,
43, 1, 106, True, True, True,,,
59, 1, 106, True, True, True,,,
61, 1, 106, True, True, True,,,
67, 1, 106, True, True, True,,,
71, 1, 106, True, True, True,,,
73, 1, 106, True, True, True,,,
79, 1, 106, True, True, True,,,
83, 1, 106, True, True, True,,,
101, 1, 106, True, True, True,,,
103, 1, 106, True, True, True,,,
2, 1, 108, False, False, False, False, False, x^108 + x^10 + x^9 + x^7 + x^6 + x^5 + x^4 + x^3 + x^2 + x + 1
2, 3, 108, False, False, False, False, False, x^324 + x^6 + x^4 + x^3 + 1
5, 1, 108, False, True, True,,,
11, 1, 108, False, True, True,,,
17, 1, 108, False, True, True,,,
23, 1, 108, False, True, True,,,
29, 1, 108, False, True, True,,,
41, 1, 108, False, True, True,,,
47, 1, 108, True, True, True,,,
53, 1, 108, False, True, True,,,
59, 1, 108, True, True, True,,,
71, 1, 108, True, True, True,,,
83, 1, 108, True, True, True,,,
89, 1, 108, True, True, True,,,
101, 1, 108, True, True, True,,,
107, 1, 108, True, True, True,,,
2, 1, 110, False, False, False, False, False, x^110 + x^6 + x^4 + x + 1
2, 2, 110, False, False, False, False, False, x^220 + x^8 + x^4 + x^3 + x^2 + x + 1
2, 3, 110, False, False, False, False, False, x^330 + x^6 + x^5 + x^3 + x^2 + x + 1
2, 4, 110, False, False, False, False, False, x^440 + x^4 + x^3 + x + 1
2, 5, 110, True, True, True,,,
3, 1, 110, False, True, True,,,
3, 2, 110, False, True, True,,,
3, 3, 110, True, True, True,,,
3, 4, 110, False, True, True,,,
5, 1, 110, False, True, True,,,
7, 1, 110, False, True, True,,,
7, 2, 110, True, True, True,,,
13, 1, 110, False, True, True,,,
17, 1, 110, False, True, True,,,
19, 1, 110, False, True, True,,,
23, 1, 110, False, True, True,,,
29, 1, 110, True, True, True,,,
31, 1, 110, False, True, True,,,
37, 1, 110, True, True, True,,,
41, 1, 110, False, True, True,,,
43, 1, 110, True, True, True,,,
47, 1, 110, True, True, True,,,
53, 1, 110, True, True, True,,,
59, 1, 110, True, True, True,,,
61, 1, 110, False, True, True,,,
67, 1, 110, False, True, True,,,
71, 1, 110, False, True, True,,,
73, 1, 110, True, True, True,,,
79, 1, 110, True, True, True,,,
83, 1, 110, True, True, True,,,
89, 1, 110, False, True, True,,,
97, 1, 110, True, True, True,,,
101, 1, 110, False, True, True,,,
103, 1, 110, True, True, True,,,
107, 1, 110, True, True, True,,,
109, 1, 110, True, True, True,,,
2, 1, 111, False, True, True,,,
2, 2, 111, False, True, True,,,
2, 3, 111, False, True, True,,,
2, 4, 111, False, True, True,,,
2, 5, 111, True, True, True,,,
2, 6, 111, True, True, True,,,
3, 1, 111, False, True, True,,,
3, 2, 111, False, True, True,,,
3, 3, 111, True, True, True,,,
5, 1, 111, False, True, True,,,
5, 2, 111, False, True, True,,,
7, 1, 111, False, True, True,,,
7, 2, 111, True, True, True,,,
11, 1, 111, False, True, True,,,
13, 1, 111, False, True, True,,,
17, 1, 111, True, True, True,,,
19, 1, 111, False, True, True,,,
23, 1, 111, True, True, True,,,
29, 1, 111, True, True, True,,,
41, 1, 111, True, True, True,,,
47, 1, 111, True, True, True,,,
53, 1, 111, True, True, True,,,
59, 1, 111, True, True, True,,,
61, 1, 111, True, True, True,,,
67, 1, 111, True, True, True,,,
71, 1, 111, True, True, True,,,
79, 1, 111, True, True, True,,,
83, 1, 111, True, True, True,,,
89, 1, 111, True, True, True,,,
97, 1, 111, True, True, True,,,
101, 1, 111, True, True, True,,,
103, 1, 111, True, True, True,,,
107, 1, 111, True, True, True,,,
109, 1, 111, True, True, True,,,
3, 1, 112, False, False, False, False, False, x^112 + x^5 + x^2 + 2*x + 2
3, 3, 112, False, True, True,,,
5, 1, 112, False, True, True,,,
13, 1, 112, False, True, True,,,
17, 1, 112, False, True, True,,,
19, 1, 112, False, True, True,,,
31, 1, 112, True, True, True,,,
41, 1, 112, False, True, True,,,
47, 1, 112, True, True, True,,,
59, 1, 112, True, True, True,,,
61, 1, 112, True, True, True,,,
73, 1, 112, False, True, True,,,
83, 1, 112, True, True, True,,,
89, 1, 112, False, True, True,,,
97, 1, 112, False, True, True,,,
101, 1, 112, True, True, True,,,
103, 1, 112, True, True, True,,,
2, 1, 114, False, False, False, False, False, x^114 + x^8 + x^7 + x^6 + x^3 + x^2 + 1
2, 2, 114, False, False, False, False, False, x^228 + x^8 + x^5 + x^4 + x^3 + x + 1
2, 3, 114, False, False, False, False, False, x^342 + x^8 + x^6 + x^4 + x^3 + x^2 + 1
2, 4, 114, False, False, False, False, False, x^456 + x^11 + x^7 + x^5 + x^4 + x + 1
2, 5, 114, False, False, False, False, False, x^570 + x^7 + x^6 + x^5 + x^2 + x + 1
3, 1, 114, False, False, False, False, False, x^114 + x^5 + x^3 + 2*x^2 + x + 2
3, 2, 114, False, True, True,,,
3, 3, 114, False, False, False, False, False, x^342 + 2*x^6 + 2*x^4 + x^3 + 2*x^2 + x + 2
5, 1, 114, False, True, True,,,
5, 2, 114, False, True, True,,,
7, 1, 114, False, True, True,,,
7, 2, 114, False, True, True,,,
11, 1, 114, False, True, True,,,
13, 1, 114, False, True, True,,,
17, 1, 114, False, True, True,,,
23, 1, 114, False, True, True,,,
29, 1, 114, True, True, True,,,
31, 1, 114, False, True, True,,,
37, 1, 114, False, True, True,,,
41, 1, 114, True, True, True,,,
43, 1, 114, False, True, True,,,
47, 1, 114, True, True, True,,,
53, 1, 114, True, True, True,,,
59, 1, 114, True, True, True,,,
61, 1, 114, False, True, True,,,
67, 1, 114, False, True, True,,,
71, 1, 114, True, True, True,,,
73, 1, 114, True, True, True,,,
79, 1, 114, True, True, True,,,
83, 1, 114, True, True, True,,,
89, 1, 114, True, True, True,,,
97, 1, 114, True, True, True,,,
101, 1, 114, True, True, True,,,
103, 1, 114, True, True, True,,,
107, 1, 114, True, True, True,,,
109, 1, 114, True, True, True,,,
113, 1, 114, True, True, True,,,
2, 1, 116, False, False, False, False, False, x^116 + x^6 + x^5 + x^2 + 1
2, 2, 116, False, False, False, False, False, x^232 + x^9 + x^7 + x^4 + x^2 + x + 1
2, 3, 116, False, False, False, False, False, x^348 + x^8 + x^7 + x^4 + 1
3, 1, 116, False, True, True,,,
3, 2, 116, False, True, True,,,
3, 3, 116, True, True, True,,,
5, 1, 116, False, True, True,,,
11, 1, 116, False, True, True,,,
13, 1, 116, False, True, True,,,
17, 1, 116, False, True, True,,,
19, 1, 116, False, True, True,,,
31, 1, 116, True, True, True,,,
37, 1, 116, False, True, True,,,
41, 1, 116, False, True, True,,,
43, 1, 116, True, True, True,,,
47, 1, 116, True, True, True,,,
61, 1, 116, True, True, True,,,
67, 1, 116, True, True, True,,,
71, 1, 116, True, True, True,,,
73, 1, 116, True, True, True,,,
79, 1, 116, True, True, True,,,
89, 1, 116, True, True, True,,,
97, 1, 116, True, True, True,,,
101, 1, 116, True, True, True,,,
109, 1, 116, True, True, True,,,
113, 1, 116, True, True, True,,,
2, 1, 117, False, True, True,,,
2, 2, 117, False, True, True,,,
2, 4, 117, False, True, True,,,
2, 5, 117, True, True, True,,,
3, 1, 117, False, False, False, False, False, x^117 + 2*x^5 + 2*x^4 + x + 1
3, 2, 117, False, False, False, False, False, x^234 + x^7 + x^5 + 2*x^4 + x^3 + x^2 + 2*x + 2
7, 1, 117, False, True, True,,,
7, 2, 117, True, True, True,,,
11, 1, 117, False, True, True,,,
17, 1, 117, True, True, True,,,
19, 1, 117, False, True, True,,,
23, 1, 117, True, True, True,,,
29, 1, 117, True, True, True,,,
37, 1, 117, False, True, True,,,
41, 1, 117, True, True, True,,,
43, 1, 117, True, True, True,,,
59, 1, 117, True, True, True,,,
61, 1, 117, True, True, True,,,
67, 1, 117, True, True, True,,,
71, 1, 117, True, True, True,,,
89, 1, 117, True, True, True,,,
97, 1, 117, True, True, True,,,
101, 1, 117, True, True, True,,,
107, 1, 117, True, True, True,,,
113, 1, 117, True, True, True,,,
2, 1, 118, False, True, True,,,
2, 3, 118, False, True, True,,,
2, 5, 118, True, True, True,,,
11, 1, 118, False, True, True,,,
13, 1, 118, False, True, True,,,
23, 1, 118, True, True, True,,,
31, 1, 118, True, True, True,,,
37, 1, 118, True, True, True,,,
43, 1, 118, True, True, True,,,
47, 1, 118, True, True, True,,,
61, 1, 118, True, True, True,,,
67, 1, 118, True, True, True,,,
73, 1, 118, True, True, True,,,
83, 1, 118, True, True, True,,,
89, 1, 118, True, True, True,,,
97, 1, 118, True, True, True,,,
101, 1, 118, True, True, True,,,
103, 1, 118, True, True, True,,,
109, 1, 118, True, True, True,,,
113, 1, 118, True, True, True,,,
2, 1, 120, False, False, False, False, False, x^120 + x^7 + x^6 + x^5 + x^2 + x + 1
2, 2, 120, False, False, False, False, False, x^240 + x^8 + x^5 + x^3 + 1
2, 3, 120, False, False, False, False, False, x^360 + x^12 + x^9 + x^8 + x^6 + x^4 + x^3 + x + 1
3, 1, 120, False, False, False, False, False, x^120 + x^6 + x^5 + 2*x^2 + 2
3, 2, 120, False, False, False, False, False, x^240 + x^6 + 2*x^4 + x^3 + x^2 + 2*x + 2
3, 3, 120, False, False, False, False, False, x^360 + x^7 + x^6 + x^4 + x^3 + x^2 + 2
5, 1, 120, False, False, False, False, False, x^120 + 4*x^4 + x^3 + 3*x^2 + 2*x + 2
7, 1, 120, False, True, True,,,
7, 2, 120, False, True, True,,,
11, 1, 120, False, False, False, False, False, x^120 + x^3 + 3*x^2 + 7
13, 1, 120, False, True, True,,,
17, 1, 120, False, True, True,,,
19, 1, 120, False, True, True,,,
23, 1, 120, False, True, True,,,
29, 1, 120, False, True, True,,,
37, 1, 120, False, True, True,,,
41, 1, 120, False, True, True,,,
43, 1, 120, False, True, True,,,
47, 1, 120, True, True, True,,,
53, 1, 120, True, True, True,,,
59, 1, 120, True, True, True,,,
67, 1, 120, False, True, True,,,
71, 1, 120, False, True, True,,,
73, 1, 120, False, True, True,,,
79, 1, 120, False, True, True,,,
83, 1, 120, True, True, True,,,
89, 1, 120, False, True, True,,,
97, 1, 120, False, True, True,,,
101, 1, 120, False, True, True,,,
103, 1, 120, True, True, True,,,
107, 1, 120, True, True, True,,,
109, 1, 120, False, True, True,,,
113, 1, 120, True, True, True,,,
2, 1, 122, False, True, True,,,
2, 2, 122, False, True, True,,,
2, 3, 122, False, True, True,,,
2, 5, 122, True, True, True,,,
3, 1, 122, False, True, True,,,
3, 3, 122, True, True, True,,,
5, 1, 122, False, True, True,,,
7, 1, 122, False, True, True,,,
7, 2, 122, True, True, True,,,
11, 1, 122, False, True, True,,,
11, 2, 122, True, True, True,,,
17, 1, 122, False, True, True,,,
19, 1, 122, False, True, True,,,
23, 1, 122, True, True, True,,,
29, 1, 122, True, True, True,,,
31, 1, 122, True, True, True,,,
37, 1, 122, True, True, True,,,
41, 1, 122, True, True, True,,,
43, 1, 122, True, True, True,,,
53, 1, 122, True, True, True,,,
59, 1, 122, True, True, True,,,
67, 1, 122, True, True, True,,,
71, 1, 122, True, True, True,,,
79, 1, 122, True, True, True,,,
89, 1, 122, True, True, True,,,
97, 1, 122, True, True, True,,,
101, 1, 122, True, True, True,,,
107, 1, 122, True, True, True,,,
109, 1, 122, True, True, True,,,
113, 1, 122, True, True, True,,,
3, 1, 124, False, True, True,,,
3, 3, 124, True, True, True,,,
11, 1, 124, False, True, True,,,
13, 1, 124, False, True, True,,,
17, 1, 124, False, True, True,,,
23, 1, 124, False, True, True,,,
29, 1, 124, False, True, True,,,
37, 1, 124, False, True, True,,,
43, 1, 124, True, True, True,,,
53, 1, 124, True, True, True,,,
61, 1, 124, False, True, True,,,
73, 1, 124, True, True, True,,,
79, 1, 124, True, True, True,,,
83, 1, 124, True, True, True,,,
89, 1, 124, True, True, True,,,
2, 1, 126, False, False, False, False, False, x^126 + x^7 + x^4 + x^2 + 1
2, 2, 126, False, False, False, False, False, x^252 + x^9 + x^8 + x^6 + x^5 + x^4 + 1
2, 3, 126, False, False, False, False, False, x^378 + x^9 + x^8 + x^7 + x^2 + x + 1
2, 4, 126, False, False, False, False, False, x^504 + x^6 + x^4 + x^3 + x^2 + x + 1
2, 5, 126, False, False, False, False, False, x^630 + x^7 + x^4 + x^2 + 1
3, 1, 126, False, False, False, False, False, x^126 + x^5 + x^3 + 2
3, 2, 126, False, False, False, False, False, x^252 + x^6 + x^5 + x^4 + x^3 + x + 2
5, 1, 126, False, True, True,,,
5, 2, 126, False, True, True,,,
5, 3, 126, True, True, True,,,
11, 1, 126, False, True, True,,,
11, 2, 126, True, True, True,,,
13, 1, 126, False, True, True,,,
17, 1, 126, False, True, True,,,
19, 1, 126, False, True, True,,,
23, 1, 126, False, True, True,,,
29, 1, 126, False, True, True,,,
31, 1, 126, False, True, True,,,
37, 1, 126, False, True, True,,,
41, 1, 126, True, True, True,,,
47, 1, 126, True, True, True,,,
53, 1, 126, True, True, True,,,
59, 1, 126, True, True, True,,,
61, 1, 126, False, True, True,,,
67, 1, 126, False, True, True,,,
71, 1, 126, False, True, True,,,
73, 1, 126, False, True, True,,,
79, 1, 126, True, True, True,,,
83, 1, 126, True, True, True,,,
89, 1, 126, True, True, True,,,
97, 1, 126, True, True, True,,,
101, 1, 126, True, True, True,,,
103, 1, 126, True, True, True,,,
107, 1, 126, True, True, True,,,
109, 1, 126, False, True, True,,,
113, 1, 126, False, True, True,,,
3, 1, 129, False, True, True,,,
3, 2, 129, False, True, True,,,
5, 1, 129, False, True, True,,,
5, 2, 129, False, True, True,,,
7, 1, 129, False, True, True,,,
7, 2, 129, True, True, True,,,
13, 1, 129, False, True, True,,,
17, 1, 129, True, True, True,,,
19, 1, 129, False, True, True,,,
23, 1, 129, True, True, True,,,
29, 1, 129, True, True, True,,,
31, 1, 129, False, True, True,,,
37, 1, 129, True, True, True,,,
53, 1, 129, True, True, True,,,
61, 1, 129, True, True, True,,,
67, 1, 129, True, True, True,,,
71, 1, 129, True, True, True,,,
73, 1, 129, True, True, True,,,
79, 1, 129, True, True, True,,,
83, 1, 129, True, True, True,,,
89, 1, 129, True, True, True,,,
101, 1, 129, True, True, True,,,
103, 1, 129, True, True, True,,,
109, 1, 129, True, True, True,,,
2, 1, 130, False, True, True,,,
2, 2, 130, False, True, True,,,
2, 3, 130, False, True, True,,,
2, 5, 130, True, True, True,,,
2, 6, 130, True, True, True,,,
3, 1, 130, False, True, True,,,
3, 2, 130, False, True, True,,,
3, 3, 130, False, True, True,,,
5, 1, 130, False, False, False, False, False, x^130 + 2*x^4 + x^3 + x + 3
5, 2, 130, False, False, False, False, False, x^260 + x^4 + x^3 + x^2 + 3*x + 2
7, 1, 130, False, True, True,,,
7, 2, 130, True, True, True,,,
11, 1, 130, False, True, True,,,
11, 2, 130, True, True, True,,,
17, 1, 130, False, True, True,,,
19, 1, 130, False, True, True,,,
23, 1, 130, True, True, True,,,
29, 1, 130, True, True, True,,,
31, 1, 130, False, True, True,,,
37, 1, 130, True, True, True,,,
41, 1, 130, False, True, True,,,
43, 1, 130, True, True, True,,,
47, 1, 130, True, True, True,,,
53, 1, 130, False, True, True,,,
59, 1, 130, True, True, True,,,
67, 1, 130, True, True, True,,,
71, 1, 130, False, True, True,,,
73, 1, 130, True, True, True,,,
79, 1, 130, False, True, True,,,
83, 1, 130, True, True, True,,,
89, 1, 130, True, True, True,,,
97, 1, 130, True, True, True,,,
101, 1, 130, False, True, True,,,
103, 1, 130, True, True, True,,,
107, 1, 130, True, True, True,,,
109, 1, 130, True, True, True,,,
113, 1, 130, True, True, True,,,
127, 1, 130, True, True, True,,,
2, 1, 132, False, False, False, False, False, x^132 + x^6 + x^5 + x^4 + x^3 + x^2 + 1
2, 3, 132, False, False, False, False, False, x^396 + x^7 + x^6 + x^4 + 1
2, 5, 132, False, False, False, False, False, x^660 + x^12 + x^4 + x^3 + 1
5, 1, 132, False, True, True,,,
5, 3, 132, True, True, True,,,
7, 1, 132, False, True, True,,,
11, 1, 132, False, False, False, False, False, x^132 + x^4 + 4*x^2 + 4*x + 6
13, 1, 132, False, True, True,,,
17, 1, 132, False, True, True,,,
19, 1, 132, False, True, True,,,
23, 1, 132, False, True, True,,,
29, 1, 132, False, True, True,,,
41, 1, 132, False, True, True,,,
43, 1, 132, False, True, True,,,
47, 1, 132, True, True, True,,,
53, 1, 132, True, True, True,,,
59, 1, 132, True, True, True,,,
61, 1, 132, False, True, True,,,
71, 1, 132, True, True, True,,,
73, 1, 132, False, True, True,,,
79, 1, 132, True, True, True,,,
83, 1, 132, True, True, True,,,
89, 1, 132, False, True, True,,,
101, 1, 132, True, True, True,,,
107, 1, 132, True, True, True,,,
109, 1, 132, False, True, True,,,
113, 1, 132, True, True, True,,,
127, 1, 132, True, True, True,,,
131, 1, 132, True, True, True,,,
2, 1, 134, False, True, True,,,
2, 3, 134, False, True, True,,,
2, 5, 134, True, True, True,,,
3, 1, 134, False, True, True,,,
3, 3, 134, True, True, True,,,
5, 1, 134, False, True, True,,,
5, 3, 134, True, True, True,,,
7, 1, 134, False, True, True,,,
11, 1, 134, False, True, True,,,
13, 1, 134, False, True, True,,,
31, 1, 134, True, True, True,,,
41, 1, 134, True, True, True,,,
43, 1, 134, True, True, True,,,
53, 1, 134, True, True, True,,,
61, 1, 134, True, True, True,,,
79, 1, 134, True, True, True,,,
97, 1, 134, True, True, True,,,
101, 1, 134, True, True, True,,,
109, 1, 134, True, True, True,,,
113, 1, 134, True, True, True,,,
2, 1, 136, False, False, False, False, False, x^136 + x^8 + x^3 + x^2 + 1
2, 2, 136, False, False, False, False, False, x^272 + x^8 + x^7 + x^6 + x^5 + x + 1
2, 3, 136, False, False, False, False, False, x^408 + x^6 + x^4 + x^3 + x^2 + x + 1
2, 4, 136, False, False, False, False, False, x^544 + x^10 + x^8 + x^5 + x^4 + x + 1
3, 1, 136, False, False, False, False, False, x^136 + x^6 + x^5 + 2*x^4 + x + 2
3, 2, 136, False, True, True,,,
3, 3, 136, True, True, True,,,
3, 4, 136, False, True, True,,,
5, 1, 136, False, True, True,,,
5, 2, 136, False, True, True,,,
5, 3, 136, True, True, True,,,
7, 1, 136, False, True, True,,,
7, 2, 136, False, True, True,,,
11, 1, 136, False, True, True,,,
11, 2, 136, True, True, True,,,
13, 1, 136, False, True, True,,,
19, 1, 136, False, True, True,,,
23, 1, 136, False, True, True,,,
29, 1, 136, False, True, True,,,
31, 1, 136, True, True, True,,,
37, 1, 136, False, True, True,,,
41, 1, 136, False, True, True,,,
43, 1, 136, True, True, True,,,
47, 1, 136, True, True, True,,,
53, 1, 136, True, True, True,,,
59, 1, 136, True, True, True,,,
61, 1, 136, True, True, True,,,
67, 1, 136, True, True, True,,,
71, 1, 136, True, True, True,,,
73, 1, 136, False, True, True,,,
79, 1, 136, True, True, True,,,
83, 1, 136, True, True, True,,,
89, 1, 136, False, True, True,,,
97, 1, 136, True, True, True,,,
101, 1, 136, True, True, True,,,
107, 1, 136, True, True, True,,,
109, 1, 136, True, True, True,,,
113, 1, 136, True, True, True,,,
127, 1, 136, True, True, True,,,
131, 1, 136, True, True, True,,,
2, 1, 138, False, False, False, False, False, x^138 + x^8 + x^6 + x^5 + x^3 + x^2 + 1
2, 3, 138, False, True, True,,,
2, 5, 138, True, True, True,,,
5, 1, 138, False, True, True,,,
5, 3, 138, True, True, True,,,
7, 1, 138, False, True, True,,,
11, 1, 138, False, True, True,,,
17, 1, 138, False, True, True,,,
19, 1, 138, False, True, True,,,
29, 1, 138, True, True, True,,,
37, 1, 138, False, True, True,,,
41, 1, 138, True, True, True,,,
43, 1, 138, False, True, True,,,
47, 1, 138, False, True, True,,,
53, 1, 138, True, True, True,,,
59, 1, 138, True, True, True,,,
61, 1, 138, False, True, True,,,
67, 1, 138, False, True, True,,,
71, 1, 138, True, True, True,,,
79, 1, 138, True, True, True,,,
83, 1, 138, True, True, True,,,
89, 1, 138, True, True, True,,,
97, 1, 138, True, True, True,,,
101, 1, 138, True, True, True,,,
103, 1, 138, True, True, True,,,
107, 1, 138, True, True, True,,,
109, 1, 138, True, True, True,,,
113, 1, 138, True, True, True,,,
131, 1, 138, True, True, True,,,
137, 1, 138, True, True, True,,,
2, 1, 140, False, False, False, False, False, x^140 + x^8 + x^4 + x + 1
2, 2, 140, False, False, False, False, False, x^280 + x^9 + x^5 + x^2 + 1
2, 3, 140, False, False, False, False, False, x^420 + x^8 + x^6 + x^5 + x^4 + x + 1
2, 5, 140, False, False, False, False, False, x^700 + x^6 + x^5 + x^2 + 1
3, 1, 140, False, True, True,,,
3, 2, 140, False, True, True,,,
3, 3, 140, False, True, True,,,
5, 1, 140, False, False, False, False, False, x^140 + 4*x^4 + x^2 + x + 2
7, 1, 140, False, False, False, False, False, x^140 + x^3 + 5*x^2 + 5*x + 5
13, 1, 140, False, True, True,,,
17, 1, 140, False, True, True,,,
19, 1, 140, False, True, True,,,
23, 1, 140, False, True, True,,,
29, 1, 140, False, True, True,,,
31, 1, 140, False, True, True,,,
37, 1, 140, False, True, True,,,
41, 1, 140, False, True, True,,,
43, 1, 140, False, True, True,,,
47, 1, 140, True, True, True,,,
53, 1, 140, True, True, True,,,
59, 1, 140, True, True, True,,,
61, 1, 140, False, True, True,,,
67, 1, 140, True, True, True,,,
73, 1, 140, True, True, True,,,
79, 1, 140, True, True, True,,,
83, 1, 140, True, True, True,,,
89, 1, 140, True, True, True,,,
97, 1, 140, True, True, True,,,
101, 1, 140, False, True, True,,,
103, 1, 140, True, True, True,,,
107, 1, 140, True, True, True,,,
109, 1, 140, True, True, True,,,
113, 1, 140, False, True, True,,,
127, 1, 140, False, True, True,,,
131, 1, 140, True, True, True,,,
137, 1, 140, True, True, True,,,
139, 1, 140, True, True, True,,,
7, 1, 142, False, True, True,,,
11, 1, 142, False, True, True,,,
13, 1, 142, False, True, True,,,
17, 1, 142, False, True, True,,,
23, 1, 142, True, True, True,,,
31, 1, 142, True, True, True,,,
41, 1, 142, True, True, True,,,
47, 1, 142, True, True, True,,,
53, 1, 142, True, True, True,,,
59, 1, 142, True, True, True,,,
61, 1, 142, True, True, True,,,
67, 1, 142, True, True, True,,,
97, 1, 142, True, True, True,,,
113, 1, 142, True, True, True,,,
127, 1, 142, True, True, True,,,
137, 1, 142, True, True, True,,,
139, 1, 142, True, True, True,,,
2, 1, 144, False, False, False, False, False, x^144 + x^7 + x^4 + x^2 + 1
2, 3, 144, False, False, False, False, False, x^432 + x^11 + x^9 + x^8 + x^5 + x^3 + 1
5, 1, 144, False, False, False, False, False, x^144 + x^3 + x^2 + 3*x + 3
5, 3, 144, True, True, True,,,
11, 1, 144, False, True, True,,,
17, 1, 144, False, True, True,,,
23, 1, 144, False, True, True,,,
29, 1, 144, False, True, True,,,
41, 1, 144, False, True, True,,,
47, 1, 144, True, True, True,,,
53, 1, 144, False, True, True,,,
59, 1, 144, True, True, True,,,
71, 1, 144, True, True, True,,,
83, 1, 144, True, True, True,,,
89, 1, 144, False, True, True,,,
101, 1, 144, True, True, True,,,
107, 1, 144, True, True, True,,,
113, 1, 144, False, True, True,,,
131, 1, 144, True, True, True,,,
137, 1, 144, True, True, True,,,
3, 1, 146, False, True, True,,,
3, 2, 146, False, True, True,,,
3, 3, 146, True, True, True,,,
5, 1, 146, False, True, True,,,
5, 2, 146, True, True, True,,,
5, 3, 146, True, True, True,,,
7, 1, 146, False, True, True,,,
7, 2, 146, True, True, True,,,
11, 1, 146, False, True, True,,,
11, 2, 146, True, True, True,,,
13, 1, 146, False, True, True,,,
17, 1, 146, False, True, True,,,
19, 1, 146, False, True, True,,,
23, 1, 146, True, True, True,,,
29, 1, 146, True, True, True,,,
31, 1, 146, True, True, True,,,
41, 1, 146, True, True, True,,,
43, 1, 146, True, True, True,,,
47, 1, 146, True, True, True,,,
53, 1, 146, True, True, True,,,
59, 1, 146, True, True, True,,,
