p,	e,	result
197,	1,	True	2^2 * 7^2 * 19^2 * 191 * 2053 * 2851 * 128213 * 466603 * 684862069 * 1524913076730369709 * 25649928333629276107 * 329992694294304177501170258077 * 1455706468205179203698541459817
197,	1,	True	2^2 * 7^2 * 19^2 * 191 * 2053 * 2851 * 128213 * 466603 * 684862069 * 1524913076730369709 * 25649928333629276107 * 329992694294304177501170258077 * 1455706468205179203698541459817
197,	2,	True	
197,	2,	True	
197,	2,	True	
199,	1,	True	2 * 3^3 * 11 * 419 * 13267 * 5672869 * 574551864796631755007804649281198212979 * 10062830673713692459994765066348354610687926358835663929256570480284519132829
199,	1,	True	2 * 3^3 * 11 * 419 * 13267 * 5672869 * 574551864796631755007804649281198212979 * 10062830673713692459994765066348354610687926358835663929256570480284519132829
199,	1,	True	2 * 3^3 * 11 * 419 * 13267 * 5672869 * 574551864796631755007804649281198212979 * 10062830673713692459994765066348354610687926358835663929256570480284519132829
199,	1,	True	2 * 3^3 * 11 * 419 * 13267 * 5672869 * 574551864796631755007804649281198212979 * 10062830673713692459994765066348354610687926358835663929256570480284519132829
199,	1,	True	2 * 3^3 * 11 * 419 * 13267 * 5672869 * 574551864796631755007804649281198212979 * 10062830673713692459994765066348354610687926358835663929256570480284519132829
199,	2,	True	
199,	2,	True	
199,	2,	True	
211,	1,	x^57 + x^56 + 119	2 * 3^2 * 5 * 7 * 13 * 31 * 37 * 723901 * 24265843575207191 * 39307261291004466119 * 470008028425130387851124524942493094851642717629850735978092597904252735498542759081
211,	2,	True	
211,	2,	True	
211,	2,	True	
223,	1,	True	2 * 3^2 * 37 * 191 * 16651 * 420319 * 1058339 * 2967137753747 * 5823808730203 * 3114895966848009236471 * 313354499867465227393837 * 4489532908420753905805456846525603617572641
223,	1,	True	2 * 3^2 * 37 * 191 * 16651 * 420319 * 1058339 * 2967137753747 * 5823808730203 * 3114895966848009236471 * 313354499867465227393837 * 4489532908420753905805456846525603617572641
223,	2,	True	
223,	2,	True	
223,	2,	True	
227,	1,	Regular
227,	1,	Regular
227,	1,	Regular
227,	1,	Regular
227,	1,	Regular
227,	2,	Regular
227,	2,	Regular
227,	2,	Regular
229,	1,	Regular
229,	1,	Regular
229,	1,	Regular
229,	1,	Regular
229,	1,	Regular
229,	2,	Regular
229,	2,	Regular
229,	2,	Regular
233,	1,	True	2^3 * 7 * 29 * 761 * 7789 * 204707 * 1970681 * 16282507 * 314173891279 * 42655078305769511 * 1026181028967892670820777319876060327229392557421429995539863489822265146757587
233,	1,	True	2^3 * 7 * 29 * 761 * 7789 * 204707 * 1970681 * 16282507 * 314173891279 * 42655078305769511 * 1026181028967892670820777319876060327229392557421429995539863489822265146757587
233,	1,	True	2^3 * 7 * 29 * 761 * 7789 * 204707 * 1970681 * 16282507 * 314173891279 * 42655078305769511 * 1026181028967892670820777319876060327229392557421429995539863489822265146757587
233,	1,	True	2^3 * 7 * 29 * 761 * 7789 * 204707 * 1970681 * 16282507 * 314173891279 * 42655078305769511 * 1026181028967892670820777319876060327229392557421429995539863489822265146757587
233,	1,	True	2^3 * 7 * 29 * 761 * 7789 * 204707 * 1970681 * 16282507 * 314173891279 * 42655078305769511 * 1026181028967892670820777319876060327229392557421429995539863489822265146757587
233,	2,	True	
233,	2,	True	
233,	2,	True	
239,	1,	True	2 * 7 * 17 * 19^2 * 3019 * 2625839 * 2892087772477508873882664553 * 2475797195261396017741474276318163519 * 759518666363843356368795827000542697077193298060905097283
239,	1,	True	2 * 7 * 17 * 19^2 * 3019 * 2625839 * 2892087772477508873882664553 * 2475797195261396017741474276318163519 * 759518666363843356368795827000542697077193298060905097283
239,	2,	True	
239,	2,	True	
239,	2,	True	
241,	1,	True	2^4 * 3^2 * 5 * 457 * 19441 * 274019 * 1843580389201 * 32715503630121127093673 * 65404721349655608236322378498683596687 * 861387694187993988753831584536625352509916266383
241,	1,	True	2^4 * 3^2 * 5 * 457 * 19441 * 274019 * 1843580389201 * 32715503630121127093673 * 65404721349655608236322378498683596687 * 861387694187993988753831584536625352509916266383
241,	2,	True	
241,	2,	True	
241,	2,	True	
251,	1,	True	2 * 5^3 * 43 * 1471 * 2281 * 5701 * 6043 * 368107 * 6424357 * 165568099843 * 1134953430815880199 * 109469621773423838974781821675122067489144086432676750210633520561260168256401
251,	1,	True	2 * 5^3 * 43 * 1471 * 2281 * 5701 * 6043 * 368107 * 6424357 * 165568099843 * 1134953430815880199 * 109469621773423838974781821675122067489144086432676750210633520561260168256401
